Значения перечисления ХозяйственныеОперации
==========================================

АвансовыйОтчет | Авансовый отчет
ЗакрытиеРасходовОтРеализацииОСПослеПереходаПрав | Закрытие расходов от реализации ОС (после перехода прав)
ЗакрытиеРасходовОтРеализацииОССОтложеннымПереходомПрав | Закрытие расходов от реализации ОС (до перехода прав)
ЗакрытиеРасходовОтСписанияОС | Закрытие расходов от списания ОС
ЗакупкаВСтранахЕАЭС | Ввоз из ЕАЭС
ЗакупкаВСтранахЕАЭСНеотфактурованнаяПоставка | Ввоз из ЕАЭС (неотфактурованная поставка)
ЗакупкаВСтранахЕАЭСПоступлениеИзТоваровВПути | Ввоз из ЕАЭС (поступление из товаров в пути)
ЗакупкаВСтранахЕАЭСТоварыВПути | Ввоз из ЕАЭС (товары в пути)
ЗакупкаВСтранахЕАЭСФактуровкаПоставки | Ввоз из ЕАЭС (фактуровка поставки)
ЗакупкаПоИмпорту | Импорт
ЗакупкаПоИмпортуПоступлениеИзТоваровВПути | Импорт (поступление из товаров в пути)
ЗакупкаПоИмпортуТоварыВПути | Импорт (товары в пути)
ЗакупкаУДругойОрганизации | Закупка у другой организации
ЗакупкаУПоставщика | Закупка у поставщика
ЗакупкаУПоставщикаНеотфактурованнаяПоставка | Закупка у поставщика (неотфактурованная поставка)
ЗакупкаУПоставщикаПоступлениеИзТоваровВПути | Закупка у поставщика (поступление из товаров в пути)
ЗакупкаУПоставщикаРеглУчет | Закупка по регл. учету
ЗакупкаУПоставщикаТоварыВПути | Закупка у поставщика (товары в пути)
ЗакупкаУПоставщикаФактуровкаПоставки | Закупка у поставщика (фактуровка поставки)
ЗакупкаЧерезПодотчетноеЛицо | Закупка через подотчетное лицо
ЗаписьКнигиПокупок | Запись книги покупок
ЗачетАвансаВыкупнойСтоимостиВСчетВыкупнойСтоимости | Зачет аванса выкупной стоимости в счет выкупной стоимости
ЗачетАвансаКлиента | Зачет аванса клиента
ЗачетАвансаПоставщику | Зачет аванса поставщику
ЗачетВознагражденияАвансомКомиссионера | Зачет вознаграждения в счет аванса комиссионера
ЗачетВознагражденияАвансомКомитенту | Зачет вознаграждения в счет аванса комитенту
ЗачетВознагражденияОплатойКомиссионера | Зачет вознаграждения оплатой комиссионера
ЗачетВознагражденияОплатойКомитенту | Зачет вознаграждения оплатой комитенту
ЗачетЗемельногоНалога | Зачет земельного налога
ЗачетЗемельногоНалогаВСчетНалогаНаИмущество | Зачет земельного налога в счет налога на имущество
ЗачетЗемельногоНалогаВСчетТранспортногоНалога | Зачет земельного налога в счет транспортного налога
ЗачетНалогаНаИмущество | Зачет налога на имущество
ЗачетНалогаНаИмуществоВСчетЗемельногоНалога | Зачет налога на имущество в счет земельного налога
ЗачетНалогаНаИмуществоВСчетТранспортногоНалога | Зачет налога на имущество в счет транспортного налога
ЗачетОбеспечительногоПлатежаВСчетВыкупнойСтоимости | Зачет обеспечительного платежа в счет выкупной стоимости
ЗачетОплатыУслугиПоАрендеВСчетВыкупнойСтоимости | Зачет оплаты услуги по аренде в счет выкупной стоимости
ЗачетТранспортногоНалога | Зачет транспортного налога
ЗачетТранспортногоНалогаВСчетЗемельногоНалога | Зачет транспортного налога в счет земельного налога
ЗачетТранспортногоНалогаВСчетНалогаНаИмущество | Зачет транспортного налога в счет налога на имущество
ИзлишнеНачисленныеПроцентыПоАренде | Излишне начисленные проценты по аренде
ИзменениеДоходовБудущихПериодовОтЦелевогоФинансированияНМА | Изменение доходов будущих периодов от целевого финансирования НМА
ИзменениеДоходовБудущихПериодовОтЦелевогоФинансированияОС | Изменение доходов будущих периодов от целевого финансирования ОС
ИзменениеПараметровАмортизацииНМА | Изменение параметров амортизации НМА
ИзменениеПараметровАмортизацииОС | Изменение параметров амортизации ОС
ИзменениеПараметровНМА | Изменение параметров НМА
ИзменениеПараметровОС | Изменение параметров ОС
ИзменениеПараметровСтоимостиАрендованногоОС | Изменение параметров стоимости арендованного ОС
ИзменениеПараметровСтоимостиНМА | Изменение параметров стоимости НМА
ИзменениеПараметровСтоимостиОС | Изменение параметров стоимости ОС
ИзменениеРезерваПереоценкиСтоимостиНМА | Изменение резерва переоценки стоимости НМА
ИзменениеРезерваПереоценкиСтоимостиОС | Изменение резерва переоценки стоимости ОС
ИзменениеСостоянияОС | Изменение состояния ОС
ИзменениеСпособаОтраженияИмущественныхНалогов | Изменение способа отражения имущественных налогов
ИзменениеУсловийДоговораАренды | Изменение условий договора аренды
ИзменениеУсловийПередачиВАренду | Изменение условий передачи в аренду
ИнвентаризационнаяОпись | Инвентаризационная опись
ИнвентаризацияВложенийВОС | Инвентаризация вложений в ОС
ИнвентаризацияКомиссионера | Инвентаризация комиссионера
ИнвентаризацияНезавершенногоСтроительства | Инвентаризация незавершенного строительства
ИнвентаризацияНМА | Инвентаризация НМА
ИнвентаризацияОбъектовУчета | Инвентаризация объектов учета
